(28480, 28383)
(28512, 28416)
(28544, 28448)
(28576, 28480)
(28608, 28512)
(28704, 28608)
(28736, 28639)
(28832, 28736)
(28864, 28767)
(28896, 28800)
(28928, 28832)
(28960, 28864)
(28992, 28896)
(29024, 28928)
(29056, 28960)
(29088, 28992)
(29120, 29024)
(29152, 29056)
(29184, 29088)
(29216, 29120)
(29248, 29152)
(29280, 29184)
(29312, 29216)
(29344, 29248)
(29376, 29280)
(29408, 29312)
(29440, 29344)
(29472, 29376)
(29504, 29408)
(29536, 29440)
(29568, 29472)
(29600, 29504)
(29632, 29536)
(29664, 29568)
(29696, 29600)
(29728, 29632)
(29760, 29664)
(29792, 29696)
(29824, 29728)
(29856, 29760)
(29888, 29792)
(29920, 29824)
(30016, 29920)
(30048, 29951)
(30080, 29984)
(30112, 30016)
(30144, 30048)
(30176, 30080)
(30208, 30112)
(30240, 30144)
(30272, 30176)
(30304, 30208)
(30336, 30240)
(30368, 30272)
(30400, 30304)
(30496, 30400)
(30528, 30431)
(30560, 30464)
(30592, 30496)
(30624, 30528)
(30656, 30560)
(30688, 30592)
(30784, 30688)
(30816, 30719)
(30848, 30752)
(30880, 30784)
(30912, 30816)
(30944, 30848)
(31104, 31008)
(31136, 31039)
(31168, 31072)
(31200, 31104)
(31232, 31136)
(31264, 31168)
(31296, 31200)
(31328, 31232)
(31360, 31264)
(31392, 31296)
(31424, 31328)
(31456, 31360)
(31488, 31392)
(31584, 31488)
(31616, 31519)
(31648, 31552)
(31744, 31648)
(31776, 31679)
(31808, 31712)
(31840, 31744)
(31936, 31840)
(31968, 31871)
(32000, 31904)
